player,birthplace
Troy Brown Jr.,"Las Vegas, Nevada"
Kent Bazemore,"Kelford, North Carolina"
Zach Collins,"North Las Vegas, Nevada"
Tyson Chandler,"Hanford, California"
Mike Scott,"Chesapeake, Virginia"
Dorian Finney-Smith,"Portsmouth, Virginia"
Javonte Green,"Petersburg, Virginia"
Frank Mason III,"Petersburg, Virginia"
Troy Daniels,"Roanoke, Virginia"
Khyri Thomas,"Cupertino, California"
Aaron Gordon,"San Jose, California"
Keldon Johnson,"Chesterfield, Virginia"
Jeremy Lamb,"Henrico, Virginia"
Gabe Vincent,"Modesto, California"
Dean Wade,"Wichita, Kansas"
Tim Hardaway Jr.,"Alameda, California"
Juan Toscano-Anderson,"Oakland, California"
Damian Lillard,"Oakland, California"
Juwan Morgan,"Waynesville, Missouri"
Willie Cauley-Stein,"Spearville, Kansas"
Luke Kornet,"Lexington, Kentucky"
PJ Washington,"Louisville, Kentucky"
Rajon Rondo,"Louisville, Kentucky"
D'Angelo Russell,"Louisville, Kentucky"
Kelan Martin,"Louisville, Kentucky"
Romeo Langford,"New Albany, Indiana"
Keita Bates-Diop,"Sacramento, California"
Marquese Chriss,"Sacramento, California"
Jayson Tatum,"St. Louis, Missouri"
Otto Porter,"St. Louis, Missouri"
Ben McLemore,"St. Louis, Missouri"
Patric McCaw,"St. Louis, Missouri"
Bradley Beal,"St. Louis, Missouri"
Meyers Leonard,"Woodbridge, Virginia"
Cody Zeller,"Washington, Indiana"
Markelle Fultz,"Prince George's County, Maryland"
Alec Burks,"Grandview, Missouri"
Treveon Grahm,"Washington, D.C."
Kevin Durant,"Washington, D.C."
Patrick Patterson,"Washington, D.C."
Quinn Cook,"Washington, D.C."
Frank Jackson,"Washington, D.C."
Ed Davis,"Washington, D.C."
Jeff Green,"Cheverly, Maryland"
Rodney McGruder,"Landover, Maryland"
Brandon Goodwin,"Norcross, Georgia"
Michael Porter Jr.,"Columbia, Missouri"
Semi Ojeleye,"Overland Park, Kansas"
Victor Oladipo,"Silver Spring, Maryland"
Josh Hart,"Silver Spring, Maryland"
Shaquille Harrison,"Kansas City, Missouri"
Landry Shamet,"Kansas City, Missouri"
Malcolm Miller,"Laytonsville, Maryland"
Will Barton,"Baltimore, Maryland"
Damion Lee,"Baltimore, Maryland"
Reggie Bullock,"Baltimore, Maryland"
Derrick White,"Parker, Colorado"
Luke Kennard,"Franklin, Ohio"
Donte Divincenzo,"Newark, Deleware"
Jeff Teague,"Indianapolis, Indiana"
Gordon Hayward,"Indianapolis, Indiana"
Courtney Lee,"Indianapolis, Indiana"
Eric Gordon,"Indianapolis, Indiana"
George Hill,"Indianapolis, Indiana"
Caleb Swanigan,"Indianapolis, Indiana"
Kyle Guy,"Indianapolis, Indiana"
Yogi Ferrell,"Indianapolis, Indiana"
Andre Iguodala,"Springfield, Illinois"
Matt Thomas,"Decatur, Illinois"
Derrick Jones Jr.,"Chester, Pennsylvania"
Rondae Hollis-Jefferson,"Chester, Pennsylvania"
Charlie Brown,"Philadelphia, Pennsylvania"
De'Andre Hunter,"Philadelphia, Pennsylvania"
Brad Wanamaker,"Philadelphia, Pennsylvania"
Ryan Arcidiaccono,"Philadelphia, Pennsylvania"
Michael Kidd-Gilchrist,"Philadelphia, Pennsylvania"
Marcus Morris,"Philadelphia, Pennsylvania"
Dion Waiters,"Philadelphia, Pennsylvania"
Markieff Morris,"Philadelphia, Pennsylvania"
BJ Johnson,"Philadelphia, Pennsylvania"
Mikal Bridges,"Philadelphia, Pennsylvania"
Kyle Lowry,"Philadelphia, Pennsylvania"
Gary Harris,"Fishers, Indiana"
Caris LeVert,"Columbus, Ohio"
Gary Trent Jr.,"Columbus, Ohio"
Wayne Ellington,"Wynnewood, Pennsylvania"
Cam Reddish,"Norristown, Pennsylvania"
Naz Reid,"Asbury Park, New Jersey"
Lonnie Walker,"Reading, Pennsylvania"
TJ McConnell,"Pittsburgh, Pennsylavnia"
Jalen Brunson,"New Brunswick, New Jersey"
Cameron Johnson,"Moon Township, Pennsylvania"
Karl-Anthony Towns,"Edison, New Jersey"
Jaren Jackson Jr.,"Plainfield, New Jersey"
Kyle Anderson,"New York City, New York"
Maurice Harkless,"New York City, New York"
Mohamed Bamba,"New York City, New York"
Jalen Lecgue,"New York City, New York"
Ty Jerome,"New York City, New York"
Moses Brown,"New York City, New York"
Justin Wright-Foreman,"Laurelton, New York"
Terance Mann,"Brooklyn, New York"
Taj Gibson,"Brooklyn, New York"
Carmelo Anthony,"Brooklyn, New York"
Kyle O'Quinn,"Jamaica, New York"
Bam Adebayo,"Newark, New Jersey"
Danny Green,"North Babylon, New York"
Hamidou Diallo,"Queens, New York"
Tobias Harris,"Islip, New York"
Louis King,"Secaucus, New Jersey"
CJ McCollum,"Canton, Ohio"
Kemba Walker,"Bronx, New York"
Jonathan Isaac,"Bronx, New York"
Andre Drummond,"Mount Vernon, New York"
Donovan Mitchell,"Elmsford, New York"
Larry Nance Jr.,"Akron, Ohio"
Stephen Curry,"Akron, Ohio"
LeBron James,"Akron, Ohio"
John Collins,"Layton, Utah"
Mason Plumlee,"Fort Wayne, Indiana"
Eric Paschall,"North Tarrytown, New York"
Terry Rozier,"Youngstown, Ohio"
James Johnson,"Cheyenne, Wyoming"
Alize Johnson,"Williamsport, Pennsylvania"
Tremont Waters,"New Haven, Connecticut"
DJ Wilson,"Mount Shasta, California"
Kris Dunn,"New London, Connecticut"
JaKarr Sampson,"Cleveland, Ohio"
Omari Spellman,"Cleveland, Ohio"
E'Twaun Moore,"East Chicago, Indiana"
Chasson Randle,"Rock Island, Illinois"
Richaun Holmes,"Lockport, Illinois"
Darius Garland,"Gary, Indiana"
Glenn Robinson III,"Gary, Indiana"
Solomon Hill,"Harvey, Illinois"
Max Strus,"Hickory Hills, Illinois"
Isaiah Roby,"Dixon, Illinois"
Frank Kaminsky,"Winfield, Illinois"
Sterling Brown,"Maywood, Illinois"
Alfonzo McKinnie,"Chicago, Illinois"
Derrick Rose,"Chicago, Illinois"
Patrick Beverly,"Chicago, Illinois"
