player,birthplace
Tyronn Lue,"Mexico, Missouri"
Felipe López ,"Santiago, Dominican Republic"
Al Harrington,"Orange, New Jersey"
Sam Jacobson,"Cottage Grove, Minnesota"
Vladimir Stepania,"Tbilisi, Republic of Georgia"
Corey Benjamin,"Compton, California"
Nazr Mohammed,"Chicago, Illinois"
Ansu Sesay,"Greensboro, North Carolina"
Ruben Patterson,"Cleveland, Ohio"
Rashard Lewis,"Pineville, Louisiana"
Jelani McCoy,"Oakland, California"
Shammond Williams,"The Bronx, New York"
Bruno Šundov,"Split, SR Croatia, SFR Yugoslavia"
Jerome James,"Tampa, Florida"
Casey Shaw,"Lebanon, Ohio"
DeMarco Johnson,"Charlotte, North Carolina"
Rafer Alston,"New York City, New York"
Korleone Young,"Wichita, Kansas"
Cuttino Mobley,"Philadelphia, Pennsylvania"
Miles Simon,"Stockholm, Sweden"
Jahidi White,"St. Louis, Missouri"
Sean Marks,"Auckland, New Zealand"
Toby Bailey,"Los Angeles, California"
Andrae Patterson,"Riverside, California"
Tyson Wheeler,"New Britain, Connecticut"
Ryan Stack,"Nashville, Tennessee"
Cory Carr,"Fordyce, Arkansas"
Andrew Betts,"Ashby-de-la-Zouch, Leicestershire, England"
Corey Brewer,"Portland, Tennessee"
Derrick Dial,"Detroit, Michigan"
Greg Buckner,"Hopkinsville, Kentucky"
Tremaine Fowlkes,"Los Angeles, California"
Ryan Bowen,"Fort Madison, Iowa"
J. R. Henderson,"Bakersfield, California"
Torraye Braggs,"Fresno, California"
Maceo Baston,"Corsicana, Texas"
Earl Boykins,"Cleveland, Ohio"
Gerald Brown,"Los Angeles, California"
Elton Brand,"Cortlandt Manor, New York"
Steve Francis,"Takoma Park, Maryland"
Baron Davis,"Los Angeles, California"
Lamar Odom,"Queens, New York"
Jonathan Bender,"Picayune, Mississippi"
Wally Szczerbiak,"Madrid, Spain"
Richard Hamilton,"Coatesville, Pennsylvania"
Andre Miller,"Los Angeles, California"
Shawn Marion,"Waukegan, Illinois"
Jason Terry,"Seattle, Washington"
Trajan Langdon,"Palo Alto, California"
Aleksandar Radojević," Herceg Novi, Montenegro "
Corey Maggette,"Melrose Park, Illinois"
William Avery,"Augusta, Georgia"
Frédéric Weis,"Thionville, France"
Ron Artest,"Queens, New York"
Cal Bowdler,"Sharps, Virginia"
James Posey,"Cleveland, Ohio"
Quincy Lewis,"Little Rock, Arkansas"
Dion Glover,"Marietta, Georgia"
Jeff Foster,"San Antonio, Texas"
Kenny Thomas,"Atlanta, Georgia"
Devean George,"Minneapolis, Minnesota"
Andrei Kirilenko,"Izhevsk, Russian SFSR, Soviet Union"
Tim James,"Miami, Florida"
Vonteego Cummings,"Thomson, Georgia"
Jumaine Jones,"Cocoa, Florida"
Scott Padgett,"Louisville, Kentucky"
Leon Smith,"Chicago, Illinois"
John Celestand,"Houston, Texas"
Rico Hill,"Oceanside, California"
Michael Ruffin,"Denver, Colorado"
Chris Herren,"Fall River, Massachusetts"
Evan Eschmeyer,"New Knoxville, Ohio"
Calvin Booth,"Reynoldsburg, Ohio"
Wang Zhizhi,"Beijing, China"
Obinna Ekezie,"Port Harcourt, Rivers State, Nigeria"
Laron Profit,"Charleston, South Carolina"
A. J. Bramlett,"DeKalb, Illinois"
Gordan Giriček,"Zagreb, SR Croatia, SFR Yugoslavia"
Francisco Elson,"Rotterdam, Netherlands"
Louis Bullock,"Washington, D.C."
Lee Nailon,"South Bend, Indiana"
Tyrone Washington,"East St. Louis, Illinois"
Ryan Robertson,"Lawton, Oklahoma"
J. R. Koch,"Peoria, Illinois"
Todd MacCulloch,"Winnipeg, Manitoba"
Galen Young,"Memphis, Tennessee"
Lari Ketner,"Philadelphia, Pennsylvania"
